time,outfall_gate_setting,inlet_gate_setting,pump_setting,pump_station_depth_m,pump_station_full_ratio,pump_station_operating_ratio,discharge_pipe_depth_m,discharge_pipe_full_ratio,discharge_node_depth_m,trunk_downstream_depth_m,trunk_drop_depth_m,pump_flow_cms,inlet_gate_flow_cms,outfall_gate_flow_cms
00:59:00,1.0,1.0,0.0,0.30486241098532546,0.12702600457721894,0.3810780137316568,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.10349592682570297,0.20577802872273798,0.0,0.013741936286410227,0.0
01:00:00,1.0,1.0,0.0,0.3343161331591814,0.13929838881632559,0.41789516644897673,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.11028979435824733,0.21149776841562654,0.0,0.011711047139520002,0.0
01:01:00,1.0,1.0,0.0,0.36371996141541635,0.15154998392309016,0.4546499517692704,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.11731797566685744,0.21695001537438427,0.0,0.012980347853795213,0.0
01:02:00,1.0,1.0,0.0,0.39585216183293287,0.16493840076372204,0.49481520229116605,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.12405671630446302,0.2221433102010951,0.0,0.013718211036730958,0.0
01:03:00,1.0,1.0,0.0,0.42920943755770574,0.17883726564904406,0.5365117969471321,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.1308829485360702,0.2270820300216451,0.0,0.013405920427810433,0.0
01:04:00,1.0,1.0,0.0,0.45659579450662097,0.19024824771109208,0.5707447431332762,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.13981957523676894,0.23172622272042603,0.0,2.8320000000000003e-05,0.0
01:05:00,1.0,1.0,0.0,0.46971522139572697,0.19571467558155292,0.5871440267446587,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.15388972093776054,0.23592632097018978,0.0,2.8320000000000003e-05,0.0
01:06:00,1.0,1.0,0.0,0.4739901276027345,0.1974958865011394,0.5924876595034181,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.1715581035132027,0.23948869149305987,0.0,2.8320000000000003e-05,0.0
01:07:00,1.0,1.0,0.0,0.489704731737362,0.20404363822390084,0.6121309146717024,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.18731177641099822,0.24237620328972395,0.0,0.0022549166374146775,0.0
01:08:00,1.0,1.0,0.0,0.5156233610100167,0.21484306708750697,0.6445292012625209,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.2013152827512952,0.24469630472463144,0.0,0.0006925595021458049,0.0
01:09:00,1.0,1.0,0.0,0.5324658954163312,0.22186078975680465,0.6655823692704139,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.21884467140422217,0.24641820591436747,0.0,-2.8320000000000003e-05,0.0
01:10:00,1.0,1.0,0.0,0.5426903167608601,0.22612096531702505,0.6783628959510751,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.23930702130528927,0.24738560912364352,0.0,-2.8320000000000003e-05,0.0
01:11:00,1.0,1.0,0.0,0.5662054998022149,0.23591895825092288,0.7077568747527686,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.25722770602684747,0.2476983618447449,0.0,-2.8320000000000003e-05,0.0
01:12:00,1.0,1.0,0.0,0.5910540641165049,0.24627252671521035,0.738817580145631,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.2746465106160512,0.24808055215361313,0.0,-2.8320000000000003e-05,0.0
01:13:00,1.0,1.0,0.0,0.601555747363863,0.25064822806827625,0.7519446842048286,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.2954115145308777,0.24863633750181985,0.0,-2.8320000000000003e-05,0.0
01:14:00,1.0,1.0,0.0,0.621199598919114,0.25883316621629754,0.7764994986488924,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.31337201655422076,0.24934007132000718,0.0,-2.8320000000000003e-05,0.0
01:15:00,1.0,1.0,0.0,0.6459741128710189,0.26915588036292454,0.8074676410887736,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.3298247439632984,0.25017055561138896,0.0,-2.8320000000000003e-05,0.0
01:16:00,1.0,1.0,0.0,0.6547821426692624,0.2728258927788593,0.8184776783365779,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.3500238723090658,0.2511102635166941,0.0,2.8320000000000003e-05,0.0
01:17:00,1.0,1.0,0.0,0.67699651272573,0.2820818803023875,0.8462456409071625,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.3668652869788863,0.2521397571114295,0.0,-2.8320000000000003e-05,0.0
01:18:00,1.0,1.0,0.0,0.6975343513471234,0.2906393130613014,0.8719179391839041,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.3837617137440837,0.2532207528602382,0.0,2.8320000000000003e-05,0.0
01:19:00,1.0,1.0,0.0,0.7067205265783666,0.2944668860743194,0.8834006582229582,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.40355171231769316,0.2543126758833016,0.0,2.8320000000000003e-05,0.0
