linkId,sourceEditorId,sourceEditorType,sourceEditorName,pipeKind,meanFlowCms,meanAbsFlowCms,tailMeanFlowCms,tailMeanAbsFlowCms,maxAbsFlowCms,maxFullness,maxCapacityRatio,finalFlowCms,finalFullness,reverseCount,uiReverseCount
PIPE_STORM_LATERAL_V_04,pipeSegment_copy_1781763961700_2,pipeSegment,우수 연결관 수직 04,storm,0.010268272975012909,0.010268272975012909,0.011111111111110737,0.011111111111110737,0.011264041244120091,0.06214182920908672,0.008876491718043196,0.011111111111118045,0.0620349401772046,0,0
PIPE_STORM_MAIN_01,pipe_free_1781761486031,pipeSegment,우수 본관 01,storm,-0.0013917262570513084,0.0013917262570513084,-0.0022810538542949173,0.0022810538542949173,0.0023576850396650507,0.07248938640003531,0.002960385144846295,-0.0023576850396650507,0.07248938640003531,473,0
PIPE_STORM_MAIN_02,pipe_free_1781761613473,pipeSegment,우수 본관 02,storm,-0.0040447395249874705,0.0040447395249874705,-0.004662254674646892,0.004662254674646892,0.004736496435453435,0.24974523405819923,0.0018361447276219578,-0.004678807474677016,0.24974523405819923,551,0
PIPE_STORM_MAIN_DROP_01,pipe_free_1781761648013,pipeSegment,우수 본관 하강관 01,storm,0.005090633644139058,0.005090633644139058,0.006587043026139208,0.006587043026139208,0.006753490153840762,0.02250572509484323,0.000948319695586013,0.006544180704892843,0.02250572509484323,0,0
PIPE_STORM_TRUNK_01,pipe_free_1781761655573,pipeSegment,우수 간선관거 01,storm,-0.00033729030178988997,0.00033729030178988997,-0.0007331897548168956,0.0007331897548168956,0.0008191804413313844,0.0260262180496331,0.0002842497841562156,-0.0008191804413313844,0.0260262180496331,202,0
PIPE_STORM_TRUNK_02,pipe_free_1781762167610,pipeSegment,우수 간선관거 02,storm,2.2714634646047015e-05,2.2714634646047015e-05,4.4813515428960234e-05,4.4813515428960234e-05,5.1751871105649704e-05,0.017838337946506546,6.825788934003546e-05,5.1751871105649704e-05,0.017838337946506546,0,0
PIPE_TREATED_OUTFALL_PIPE_01,pipe_free_1781762695368,pipeSegment,처리수 방류관 01,treated,3.876028737865257e-09,3.876028737865257e-09,1.938014368932629e-08,1.938014368932629e-08,5.740414997102683e-08,0.0010022103690948921,2.9564242405267896e-07,5.740414997102683e-08,0.0010022103690948921,0,0
REL_001_CONDUIT,link_1781708325059,relation,관계 001: 아파트 01 → 오수 커넥터 01,sewer,0.004893784609264517,0.004893784609264517,0.004999999908803757,0.004999999908803757,0.006342041228325487,0.042788947888711334,0.005144058157722829,0.005000000001273284,0.04276788995694478,0,0
REL_006_CONDUIT,link_1781748792222,relation,관계 006: 오수 커넥터 09 → 오수 맨홀 01,sewer,0.0017333547162809286,0.0017333547162809286,0.0026060933222900747,0.0026060933222900747,0.0026126960538753697,0.07669111055462646,0.0001097166129959252,0.0026126960538753697,0.07669111055462646,0,0
REL_009_CONDUIT,link_1781752693866,relation,관계 009: 오수 맨홀 01 → 오수 커넥터 10,sewer,0.003715893710782563,0.003715893710782563,0.0043198519953344785,0.0043198519953344785,0.004337662545726124,0.14611588791857777,0.0035182975954387917,0.0043142754495729555,0.14611588791857777,0,0
