linkId,sourceEditorId,sourceEditorType,sourceEditorName,pipeKind,kind,fromNode,toNode,lengthM,diameterM,baselineTailAbsFlowCms,blockedTailAbsFlowCms,flowReduction,baselineMaxFullness,blockedMaxFullness,upstreamDepthDelta,downstreamDepthDelta,reverseCount,uiReverseCount,status,issues
REL_029_CONDUIT,link_1781761542111,relation,관계 029: 우수 커넥터 10 → 우수 맨홀 01,storm,CONDUIT,CONN_STORM_10,MH_STORM_01,5.0,1.2,0.004190150352373362,1e-06,0.9997613450793159,0.2354392967266581,0.22195345125265684,-0.0004304790624219466,0.0003196680113416371,0,0,suspect,no_upstream_depth_response
REL_030_CONDUIT,link_1781761591745,relation,관계 030: 우수 맨홀 01 → 우수 커넥터 09,storm,CONDUIT,MH_STORM_01,CONN_STORM_09,5.0,1.2,0.003691841483460031,1e-06,0.9997291324656056,0.23445510190699861,0.23712879232078424,-0.00028393157854503714,0.00030590373636548416,0,0,suspect,no_upstream_depth_response
REL_036_CONDUIT,link_1781761700672,relation,관계 036: 우수 커넥터 12 → 빗물펌프장 01,storm,CONDUIT,CONN_STORM_12,FAC_PUMP_STATION_01,5.0,1.2,0.00022364814541449038,1e-06,,0.028096658633020074,0.027529452503234558,2.6084097778565507e-06,-0.0014231192594103652,0,0,inconclusive_no_baseline_flow,
REL_038_CONDUIT,link_1781761766472,relation,관계 038: 주거지 01 → 오수 커넥터 03,sewer,CONDUIT,HOUSE_01,CONN_SEWER_03,5.0,1.2,0.0049994090810184,1e-06,0.9997999763604469,0.0410009150319554,0.5001776412885671,1.6150733941954065,-0.028821590512948185,0,0,pass,
REL_042_CONDUIT,link_copy_1781761822423_1,relation,관계 042: 주거지 02 → 오수 커넥터 04,sewer,CONDUIT,HOUSE_02,CONN_SEWER_04,5.0,1.2,0.005000000000550646,1e-06,0.999800000000022,0.04056620815843383,0.5001783046356736,1.615364433284379,-0.028319560122445405,0,0,pass,
REL_046_CONDUIT,link_copy_1781761845125_1,relation,관계 046: 빗물받이 03 → 우수 커넥터 03,storm,CONDUIT,CATCH_BASIN_03,CONN_STORM_03,5.0,1.2,0.01111111111111112,1e-06,0.99991,0.03725674802529523,0.5001804926110937,0.9495284680908085,-0.001130274643136037,0,0,pass,
REL_057_CONDUIT,link_1781761954496,relation,관계 057: 합류식 커넥터 01 → 합류식 맨홀 01,combined,CONDUIT,CONN_COMB_01,MH_COMB_01,5.0,1.2,0.004665796667263911,1e-06,0.9997856743293131,0.24071996327266343,0.24464863610661503,-0.00010184584533104685,0.00014141621150808741,0,0,suspect,no_upstream_depth_response
REL_058_CONDUIT,link_1781761960975,relation,관계 058: 합류식 맨홀 01 → 합류식 커넥터 02,combined,CONDUIT,MH_COMB_01,CONN_COMB_02,5.0,1.2,0.004196538971903269,1e-06,0.9997617083966823,0.2384483257288235,0.23947013855781696,4.664777157278345e-07,9.814185842864018e-06,0,0,suspect,no_upstream_depth_response
REL_061_CONDUIT,link_1781762083267,relation,관계 061: 합류식 커넥터 03 → 우수토실-월류시설 01,combined,CONDUIT,CONN_COMB_03,FAC_OVERFLOW_CHAMBER_01,5.0,1.2,0.005402729299337716,1e-06,0.9998149083649032,0.02020017522375588,0.11000610342469179,0.0009240913359400636,-0.0016335542225157278,0,0,suspect,no_upstream_depth_response
REL_066_CONDUIT,link_1781762200258,relation,관계 066: 빗물펌프장 01 → 우수 커넥터 13,storm,CONDUIT,FAC_PUMP_STATION_01,CONN_STORM_13,5.0,1.2,0.0013296814459348653,1e-06,0.9992479401716424,0.028728280783166613,0.021653644848660863,-0.007607832859176519,1.6249143276531101e-06,0,0,suspect,no_upstream_depth_response
REL_069_CONDUIT,link_1781762240045,relation,관계 069: 처리수 커넥터 02 → 처리수 방류구 01,treated,CONDUIT,CONN_TREATED_02,TREATED_OUTFALL_01,5.0,1.2,0.0,0.0,,2.5400000000000004e-05,2.5400000000000004e-05,0.0,0.0,0,0,inconclusive_no_baseline_flow,
REL_070_CONDUIT,link_1781762242924,relation,관계 070: 우수 커넥터 14 → 펌프 방류구 01,storm,CONDUIT,CONN_STORM_14,PUMP_OUTFALL_01,5.0,1.2,0.0,0.0,,7.501612494366346e-05,7.501612494366346e-05,0.0,0.0,0,0,inconclusive_no_baseline_flow,
REL_071_CONDUIT,link_1781762359792,relation,관계 071: 우수토실-월류시설 01 → 합류식 커넥터 04,combined,CONDUIT,FAC_OVERFLOW_CHAMBER_01,CONN_COMB_04,5.0,1.2,0.005380265314512582,1e-06,0.9998141355599505,0.007945759957380973,0.021433059040582465,0.01660867764493838,-4.795873568076059e-05,0,0,suspect,no_upstream_depth_response
REL_079_CONDUIT,link_1781763845675,relation,관계 079: 빗물받이 02 → 우수 커넥터 02,storm,CONDUIT,CATCH_BASIN_02,CONN_STORM_02,5.0,1.2,0.01111109093436195,1e-06,0.999909999836568,0.03804529691266492,0.5001787062080673,0.9496802998159863,-0.0012273459332782105,0,0,pass,
REL_085_CONDUIT,link_copy_1781763961700_3,relation,관계 085: 빗물받이 04 → 우수 커넥터 04,storm,CONDUIT,CATCH_BASIN_04,CONN_STORM_04,5.0,1.2,0.01111111111111112,1e-06,0.99991,0.03989013191835261,0.5001743405498108,0.9498769616468191,-0.0013535633488122032,0,0,pass,
